;contractID;symbol;expiration;strike;type;last;mark;bid;bid_size;ask;ask_size;volume;open_interest;date;implied_volatility;delta;gamma;theta;vega;rho;underlying;price_date
689;AAPL250417P00250000;AAPL;2025-04-17;250.00;put;40.58;40.35;40.15;2;40.55;14;85;3812;2025-03-13;0.39985;-0.90741;0.00639;-0.03415;0.10768;-0.22114;AAPL;2025-03-13
690;AAPL250417C00255000;AAPL;2025-04-17;255.00;call;0.22;0.21;0.20;45;0.21;18;1504;13933;2025-03-13;0.31495;0.02774;0.00312;-0.01929;0.04140;0.00538;AAPL;2025-03-13
691;AAPL250417P00255000;AAPL;2025-04-17;255.00;put;44.06;45.38;45.10;10;45.65;103;583;295;2025-03-13;0.43811;-0.91051;0.00568;-0.03768;0.10499;-0.22659;AAPL;2025-03-13
692;AAPL250417C00260000;AAPL;2025-04-17;260.00;call;0.16;0.15;0.15;89;0.16;92;1403;17649;2025-03-13;0.32394;0.02005;0.00231;-0.01506;0.03150;0.00389;AAPL;2025-03-13
693;AAPL250417P00260000;AAPL;2025-04-17;260.00;put;48.35;50.35;50.10;10;50.60;15;53;45;2025-03-13;0.46952;-0.91593;0.00506;-0.03846;0.10021;-0.23244;AAPL;2025-03-13
694;AAPL250417C00265000;AAPL;2025-04-17;265.00;call;0.11;0.12;0.11;2;0.14;16;762;16687;2025-03-13;0.33766;0.01588;0.00181;-0.01284;0.02583;0.00308;AAPL;2025-03-13
695;AAPL250417P00265000;AAPL;2025-04-17;265.00;put;0.00;55.35;54.95;105;55.75;105;0;0;2025-03-13;0.50275;-0.91917;0.00459;-0.04044;0.09729;-0.23789;AAPL;2025-03-13
696;AAPL250417C00270000;AAPL;2025-04-17;270.00;call;0.10;0.10;0.08;34;0.11;526;357;10071;2025-03-13;0.35199;0.01297;0.00146;-0.01122;0.02169;0.00251;AAPL;2025-03-13
697;AAPL250417P00270000;AAPL;2025-04-17;270.00;put;59.14;60.35;60.00;15;60.70;111;51;8;2025-03-13;0.53522;-0.92185;0.00420;-0.04242;0.09483;-0.24322;AAPL;2025-03-13
698;AAPL250417C00275000;AAPL;2025-04-17;275.00;call;0.08;0.15;0.08;4;0.23;1511;159;6284;2025-03-13;0.39498;0.01691;0.00164;-0.01578;0.02725;0.00326;AAPL;2025-03-13
699;AAPL250417P00275000;AAPL;2025-04-17;275.00;put;0.00;65.30;64.85;105;65.75;130;0;0;2025-03-13;0.56128;-0.92640;0.00383;-0.04186;0.09060;-0.24888;AAPL;2025-03-13
700;AAPL250417C00280000;AAPL;2025-04-17;280.00;call;0.07;0.07;0.06;27;0.07;14;516;5838;2025-03-13;0.37851;0.00881;0.00097;-0.00859;0.01549;0.00170;AAPL;2025-03-13
701;AAPL250417P00280000;AAPL;2025-04-17;280.00;put;67.45;70.30;69.90;101;70.70;101;1;6;2025-03-13;0.59192;-0.92834;0.00356;-0.04363;0.08877;-0.25407;AAPL;2025-03-13
702;AAPL250417C00285000;AAPL;2025-04-17;285.00;call;0.05;0.06;0.04;54;0.07;26;26;4813;2025-03-13;0.39177;0.00745;0.00081;-0.00766;0.01336;0.00144;AAPL;2025-03-13
703;AAPL250417P00285000;AAPL;2025-04-17;285.00;put;71.25;75.32;74.85;105;75.80;105;1;0;2025-03-13;0.62409;-0.92922;0.00334;-0.04635;0.08793;-0.25906;AAPL;2025-03-13
704;AAPL250417C00290000;AAPL;2025-04-17;290.00;call;0.05;0.05;0.04;1;0.06;11;75;2150;2025-03-13;0.40290;0.00615;0.00066;-0.00664;0.01128;0.00119;AAPL;2025-03-13
